#https://volby.cz/pls/ps2013/ps111?xjazyk=CZ&xkraj=1&xstrana=0&xv=1&xt=1
cislo;strana;porc;jmeno;vek;nav;pol;abs;rel;man;porman
15;SPOZ;23;Abt Jaroslav;40;SPOZ;SPOZ;8;0,14;-;-
1;ČSSD;3;Adámek František Bc.;58;ČSSD;ČSSD;2492;3,01;*;4
16;OBČ_2011;10;Adámek Karel Ing.;61;OBČ_2011;BEZPP;12;2,63;-;-
16;OBČ_2011;1;Adámek Ludvík;58;OBČ_2011;OBČ_2011;33;7,25;-;-
16;OBČ_2011;11;Adámek Lukáš Bc.;28;OBČ_2011;OBČ_2011;12;2,63;-;-
4;TOP 09;6;Adamová Markéta Ing.;29;TOP 09;TOP 09;3626;2,68;*;6
21;KSČM;11;Ambrož Pavel;55;KSČM;KSČM;317;0,63;-;9
15;SPOZ;16;Arbesová Sandra Ing.;30;SPOZ;SPOZ;28;0,51;-;-
22;LEV 21;3;Babinec Bohdan MUDr. CSc.;69;LEV 21;LEV 21;43;11,43;-;-
20;ANO 2011;1;Babiš Andrej Ing.;59;ANO 2011;ANO 2011;18955;19,62;*;1
5;HLVZHŮRU;35;Bakalář Robert Bc.;34;HLVZHŮRU;PSZ;17;0,65;-;-
3;Piráti;20;Bakovský Pavel;21;Piráti;Piráti;314;1,47;-;-
1;ČSSD;35;Balabán Miloš PhDr. Ph.D.;51;ČSSD;ČSSD;1105;1,33;-;31
23;SZ;33;Barta Jan;28;SZ;BEZPP;104;0,27;-;-
24;KČ;2;Bárta Jan Ing. arch.;71;KČ;KČ;40;3,31;-;-
10;SsČR;3;Bartoňová Pálková Irena Mgr.;45;SsČR;BEZPP;31;4,20;-;-
3;Piráti;1;Bartoš Ivan PhDr. PhD;33;Piráti;Piráti;3772;17,68;-;-
5;HLVZHŮRU;15;Bártová Petra Mgr.;49;HLVZHŮRU;SBB;49;1,89;-;-
6;ODS;13;Bartovský Tomáš Mgr.;35;ODS;ODS;544;0,77;-;9
11;KDU-ČSL;32;Bartůšek Jan Mgr.;49;KDU-ČSL;KDU-ČSL;122;0,38;-;31
10;SsČR;16;Baubín Petr Ing.;48;SsČR;SsČR;7;0,94;-;-
13;Suveren.;35;Bayerová Veronika;43;Suveren.;BEZPP;2;0,25;-;-
12;PB;13;Bečka Jan;35;PB;BEZPP;5;0,40;-;-
9;Změna;17;Bednář Jan;34;Změna;HS;24;0,54;-;-
2;Svobodní;3;Bednář Miloslav prof. PhDr. CSc.;65;Svobodní;Svobodní;1249;5,69;-;-
15;SPOZ;13;Bejlovec Jiří Bc.;23;SPOZ;SPOZ;81;1,49;-;-
13;Suveren.;18;Beladová Eva;52;Suveren.;BEZPP;8;1,00;-;-
6;ODS;20;Bellu Alexander Bc.;26;ODS;ODS;703;0,99;-;16
1;ČSSD;9;Beňák David Mgr. DiS.;34;ČSSD;ČSSD;2275;2,75;-;6
24;KČ;33;Benčok Michal;62;KČ;BEZPP;28;2,32;-;-
6;ODS;10;Benda Marek;44;ODS;ODS;5336;7,58;*;4
20;ANO 2011;32;Bendová Jarmila Ing.;48;ANO 2011;ANO 2011;327;0,33;-;27
17;Úsvit;20;Benek Vítězslav;51;Úsvit;BEZPP;58;0,30;-;19
16;OBČ_2011;4;Beneš František;54;OBČ_2011;OBČ_2011;15;3,29;-;-
21;KSČM;18;Beneš František Ing. CSc.;69;KSČM;KSČM;738;1,47;-;16
16;OBČ_2011;8;Benešová Petra Ing.;29;OBČ_2011;OBČ_2011;24;5,27;-;-
12;PB;2;Benýšek Jiří;23;PB;BEZPP;36;2,93;-;-
23;SZ;24;Benýšková Helena;32;SZ;SZ;181;0,47;-;-
16;OBČ_2011;3;Beranová Monika;51;OBČ_2011;OBČ_2011;20;4,39;-;-
24;KČ;31;Bernard Darius;47;KČ;BEZPP;4;0,33;-;-
22;LEV 21;1;Bernardová Tereza Bc.;31;LEV 21;LEV 21;18;4,78;-;-
9;Změna;12;Bičáková Vlasta;39;Změna;KH;51;1,15;-;-
15;SPOZ;9;Bílek Vítězslav;68;SPOZ;SPOZ;34;0,62;-;-
13;Suveren.;4;Blaško Marek Ing.;37;Suveren.;BEZPP;27;3,38;-;-
6;ODS;11;Blažek František;48;ODS;ODS;891;1,26;-;7
20;ANO 2011;17;Bocková Romana Ing.;46;ANO 2011;ANO 2011;509;0,52;-;12
24;KČ;5;Bohdanecký Zdeněk;36;KČ;KČ;15;1,24;-;-
4;TOP 09;34;Bonhomme Hankeová Zuzana MUDr. MIB;54;TOP 09;TOP 09;1139;0,84;-;27
22;LEV 21;13;Bouzek Petr Ing. MUDr.;52;LEV 21;LEV 21;5;1,32;-;-
24;KČ;23;Brabec Jiří;64;KČ;BEZPP;4;0,33;-;-
17;Úsvit;3;Brandeisová Soňa;70;Úsvit;BEZPP;413;2,20;-;2
24;KČ;20;Brant Petr;63;KČ;BEZPP;2;0,16;-;-
15;SPOZ;8;Brettl Vojtěch PhDr.;35;SPOZ;SPOZ;108;1,99;-;-
21;KSČM;16;Briardová Helena PhDr.;66;KSČM;KSČM;350;0,70;-;14
16;OBČ_2011;6;Brichta Aleš Ing.;54;OBČ_2011;BEZPP;94;20,65;-;-
5;HLVZHŮRU;24;Brotánek Tomáš Bc.;35;HLVZHŮRU;BEZPP;11;0,42;-;-
15;SPOZ;21;Brunner Jan;63;SPOZ;SPOZ;55;1,01;-;-
11;KDU-ČSL;12;Bruthans Jan MUDr. CSc., FESC;65;KDU-ČSL;KDU-ČSL;724;2,25;-;11
24;KČ;28;Březina Karel;40;KČ;BEZPP;9;0,74;-;-
18;DSSS;3;Bubla Jiří Mgr.;41;DSSS;DSSS;53;2,14;-;-
23;SZ;25;Budín Lukáš Mgr.;34;SZ;SZ;263;0,69;-;-
18;DSSS;2;Budz Ladislav;37;DSSS;DSSS;95;3,84;-;-
24;KČ;27;Bukačová Irena PhDr.;64;KČ;BEZPP;19;1,57;-;-
10;SsČR;21;Burger Daniel;36;SsČR;KONS;14;1,89;-;-
11;KDU-ČSL;25;Burgr Petr;60;KDU-ČSL;KDU-ČSL;245;0,76;-;24
9;Změna;9;Burian Jan Ing. Ph.D.;39;Změna;BEZPP;91;2,06;-;-
23;SZ;10;Cabrnochová Ivana Mgr.;39;SZ;SZ;1138;3,00;-;-
12;PB;3;Cafourek Josef;65;PB;BEZPP;20;1,63;-;-
