#https://volby.cz/pls/ps2013/ps111?xjazyk=CZ&xkraj=1&xstrana=0&xv=1&xt=1
cislo;strana;porc;jmeno;vek;nav;pol;abs;rel;man;porman
15;SPOZ;23;Abt Jaroslav;40;SPOZ;SPOZ;8;0,14;-;-
1;CSSD;3;Adamek Frantisek Bc.;58;CSSD;CSSD;2492;3,01;*;4
16;OBC_2011;10;Adamek Karel Ing.;61;OBC_2011;BEZPP;12;2,63;-;-
16;OBC_2011;1;Adamek Ludvik;58;OBC_2011;OBC_2011;33;7,25;-;-
16;OBC_2011;11;Adamek Lukas Bc.;28;OBC_2011;OBC_2011;12;2,63;-;-
4;TOP 09;6;Adamova Marketa Ing.;29;TOP 09;TOP 09;3626;2,68;*;6
21;KSCM;11;Ambroz Pavel;55;KSCM;KSCM;317;0,63;-;9
15;SPOZ;16;Arbesova Sandra Ing.;30;SPOZ;SPOZ;28;0,51;-;-
22;LEV 21;3;Babinec Bohdan MUDr. CSc.;69;LEV 21;LEV 21;43;11,43;-;-
20;ANO 2011;1;Babis Andrej Ing.;59;ANO 2011;ANO 2011;18955;19,62;*;1
5;HLVZHURU;35;Bakalar Robert Bc.;34;HLVZHURU;PSZ;17;0,65;-;-
3;Pirati;20;Bakovsky Pavel;21;Pirati;Pirati;314;1,47;-;-
1;CSSD;35;Balaban Milos PhDr. Ph.D.;51;CSSD;CSSD;1105;1,33;-;31
23;SZ;33;Barta Jan;28;SZ;BEZPP;104;0,27;-;-
24;KC;2;Barta Jan Ing. arch.;71;KC;KC;40;3,31;-;-
10;SsCR;3;Bartonova Palkova Irena Mgr.;45;SsCR;BEZPP;31;4,20;-;-
3;Pirati;1;Bartos Ivan PhDr. PhD;33;Pirati;Pirati;3772;17,68;-;-
5;HLVZHURU;15;Bartova Petra Mgr.;49;HLVZHURU;SBB;49;1,89;-;-
6;ODS;13;Bartovsky Tomas Mgr.;35;ODS;ODS;544;0,77;-;9
11;KDU-CSL;32;Bartusek Jan Mgr.;49;KDU-CSL;KDU-CSL;122;0,38;-;31
10;SsCR;16;Baubin Petr Ing.;48;SsCR;SsCR;7;0,94;-;-
13;Suveren.;35;Bayerova Veronika;43;Suveren.;BEZPP;2;0,25;-;-
12;PB;13;Becka Jan;35;PB;BEZPP;5;0,40;-;-
9;Zmena;17;Bednar Jan;34;Zmena;HS;24;0,54;-;-
2;Svobodni;3;Bednar Miloslav prof. PhDr. CSc.;65;Svobodni;Svobodni;1249;5,69;-;-
15;SPOZ;13;Bejlovec Jiri Bc.;23;SPOZ;SPOZ;81;1,49;-;-
13;Suveren.;18;Beladova Eva;52;Suveren.;BEZPP;8;1,00;-;-
6;ODS;20;Bellu Alexander Bc.;26;ODS;ODS;703;0,99;-;16
1;CSSD;9;Benak David Mgr. DiS.;34;CSSD;CSSD;2275;2,75;-;6
24;KC;33;Bencok Michal;62;KC;BEZPP;28;2,32;-;-
6;ODS;10;Benda Marek;44;ODS;ODS;5336;7,58;*;4
20;ANO 2011;32;Bendova Jarmila Ing.;48;ANO 2011;ANO 2011;327;0,33;-;27
